"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","AgeGroup","FamilySize","FamilyType","FareGroup"
0,3,"male",19,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,1,"male",22,0,0,135.6333,"","C","Adult",1,"Solo","High"
0,3,"female",3,3,1,21.075,"","S","Child",5,"Large Family","Medium"
1,1,"female",28,1,0,82.1708,"","C","Adult",2,"Small Family","High"
1,3,"female",22,0,0,7.25,"","S","Adult",1,"Solo","Low"
0,1,"male",27,0,2,211.5,"C82","C","Adult",3,"Small Family","High"
0,3,"male",20,0,0,4.0125,"","C","Adult",1,"Solo","Low"
0,3,"male",19,0,0,7.775,"","S","Adult",1,"Solo","Low"
1,1,"female",42,0,0,227.525,"","C","Adult",1,"Solo","High"
1,3,"female",1,0,2,15.7417,"","C","Child",3,"Small Family","Medium"
0,3,"male",32,0,0,7.925,"","S","Adult",1,"Solo","Low"
1,1,"female",35,1,0,52,"","S","Adult",2,"Small Family","High"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,2,"male",18,0,0,73.5,"","S","Adult",1,"Solo","High"
0,3,"male",1,5,2,46.9,"","S","Child",8,"Large Family","High"
1,2,"female",36,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,7.7292,"","Q","Adult",1,"Solo","Low"
1,2,"female",17,0,0,12,"","C","Adult",1,"Solo","Medium"
1,1,"male",36,1,2,120,"B96 B98","S","Adult",4,"Small Family","High"
1,3,"male",21,0,0,7.7958,"","S","Adult",1,"Solo","Low"
0,3,"male",28,2,0,7.925,"","S","Adult",3,"Small Family","Low"
1,1,"female",23,1,0,113.275,"D36","C","Adult",2,"Small Family","High"
1,3,"female",24,0,2,16.7,"G6","S","Adult",3,"Small Family","Medium"
0,3,"male",22,0,0,7.7958,"","S","Adult",1,"Solo","Low"
0,3,"female",31,0,0,7.8542,"","S","Adult",1,"Solo","Low"
0,2,"male",46,0,0,26,"","S","Adult",1,"Solo","Medium"
0,2,"male",23,0,0,10.5,"","S","Adult",1,"Solo","Medium"
1,2,"female",28,0,0,12.65,"","S","Adult",1,"Solo","Medium"
1,3,"male",39,0,0,7.925,"","S","Adult",1,"Solo","Low"
0,3,"male",26,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"female",21,1,0,9.825,"","S","Adult",2,"Small Family","Low"
0,3,"male",28,1,0,15.85,"","S","Adult",2,"Small Family","Medium"
0,3,"female",20,0,0,8.6625,"","S","Adult",1,"Solo","Low"
0,2,"male",34,1,0,21,"","S","Adult",2,"Small Family","Medium"
0,3,"male",51,0,0,7.75,"","S","Adult",1,"Solo","Low"
1,2,"male",3,1,1,18.75,"","S","Child",3,"Small Family","Medium"
0,3,"male",21,0,0,7.775,"","S","Adult",1,"Solo","Low"
0,3,"female",28,3,1,25.4667,"","S","Adult",5,"Large Family","Medium"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,6.8583,"","Q","Adult",1,"Solo","Low"
1,1,"female",33,1,0,90,"C78","Q","Adult",2,"Small Family","High"
0,2,"male",28,0,0,0,"","S","Adult",1,"Solo","Low"
1,3,"male",44,0,0,7.925,"","S","Adult",1,"Solo","Low"
0,3,"female",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,2,"female",34,1,1,32.5,"","S","Adult",3,"Small Family","High"
1,2,"female",18,0,2,13,"","S","Adult",3,"Small Family","Medium"
0,2,"male",30,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"female",10,0,2,24.15,"","S","Child",3,"Small Family","Medium"
0,3,"male",28,0,0,7.8958,"","C","Adult",1,"Solo","Low"
0,3,"male",21,0,0,7.7333,"","Q","Adult",1,"Solo","Low"
0,3,"male",29,0,0,7.875,"","S","Adult",1,"Solo","Low"
0,3,"female",28,1,1,14.4,"","S","Adult",3,"Small Family","Medium"
0,3,"male",18,1,1,20.2125,"","S","Adult",3,"Small Family","Medium"
0,3,"male",28,0,0,7.25,"","S","Adult",1,"Solo","Low"
1,2,"female",28,1,0,26,"","S","Adult",2,"Small Family","Medium"
1,2,"female",19,0,0,26,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
1,3,"male",32,0,0,8.05,"E10","S","Adult",1,"Solo","Low"
1,1,"male",28,0,0,26.55,"C52","S","Adult",1,"Solo","Medium"
1,3,"female",28,1,0,16.1,"","S","Adult",2,"Small Family","Medium"
1,2,"female",42,1,0,26,"","S","Adult",2,"Small Family","Medium"
0,3,"male",17,0,0,7.125,"","S","Adult",1,"Solo","Low"
0,1,"male",50,1,0,55.9,"E44","S","Adult",2,"Small Family","High"
1,1,"female",14,1,2,120,"B96 B98","S","Child",4,"Small Family","High"
0,3,"female",21,2,2,34.375,"","S","Adult",5,"Large Family","High"
1,2,"female",24,2,3,18.75,"","S","Adult",6,"Large Family","Medium"
0,1,"male",64,1,4,263,"C23 C25 C27","S","Elderly",6,"Large Family","High"
0,2,"male",31,0,0,10.5,"","S","Adult",1,"Solo","Medium"
1,2,"female",45,1,1,26.25,"","S","Adult",3,"Small Family","Medium"
0,3,"male",20,0,0,9.5,"","S","Adult",1,"Solo","Low"
0,3,"male",25,1,0,7.775,"","S","Adult",2,"Small Family","Low"
1,2,"female",28,0,0,13,"","S","Adult",1,"Solo","Medium"
1,3,"male",28,0,0,8.1125,"","S","Adult",1,"Solo","Low"
1,1,"male",4,0,2,81.8583,"A34","S","Child",3,"Small Family","High"
1,2,"female",13,0,1,19.5,"","S","Child",2,"Small Family","Medium"
1,1,"male",34,0,0,26.55,"","S","Adult",1,"Solo","Medium"
1,3,"female",5,2,1,19.2583,"","C","Child",4,"Small Family","Medium"
1,1,"male",52,0,0,30.5,"C104","S","Adult",1,"Solo","High"
0,2,"male",36,1,2,27.75,"","S","Adult",4,"Small Family","Medium"
0,3,"male",28,1,0,19.9667,"","S","Adult",2,"Small Family","Medium"
0,1,"male",30,0,0,27.75,"C111","C","Adult",1,"Solo","Medium"
1,1,"male",49,1,0,89.1042,"C92","C","Adult",2,"Small Family","High"
0,3,"male",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,3,"male",29,0,0,7.8958,"","C","Adult",1,"Solo","Low"
0,1,"male",65,0,0,26.55,"E38","S","Elderly",1,"Solo","Medium"
1,1,"female",28,1,0,51.8625,"D21","S","Adult",2,"Small Family","High"
1,2,"female",50,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
1,1,"male",48,0,0,26.55,"E12","S","Adult",1,"Solo","Medium"
0,3,"male",34,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,1,"male",47,0,0,38.5,"E63","S","Adult",1,"Solo","High"
0,2,"male",48,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",38,0,0,7.05,"","S","Adult",1,"Solo","Low"
0,2,"male",28,0,0,0,"","S","Adult",1,"Solo","Low"
0,1,"male",56,0,0,26.55,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,7.725,"","Q","Adult",1,"Solo","Low"
1,3,"female",0.75,2,1,19.2583,"","C","Child",4,"Small Family","Medium"
0,3,"male",28,0,0,7.25,"","S","Adult",1,"Solo","Low"
0,3,"male",38,0,0,8.6625,"","S","Adult",1,"Solo","Low"
1,2,"female",33,1,2,27.75,"","S","Adult",4,"Small Family","Medium"
1,2,"female",23,0,0,13.7917,"D","C","Adult",1,"Solo","Medium"
0,3,"female",22,0,0,9.8375,"","S","Adult",1,"Solo","Low"
0,1,"male",28,0,0,52,"A14","S","Adult",1,"Solo","High"
0,2,"male",34,1,0,21,"","S","Adult",2,"Small Family","Medium"
0,3,"male",29,1,0,7.0458,"","S","Adult",2,"Small Family","Low"
0,3,"male",22,0,0,7.5208,"","S","Adult",1,"Solo","Low"
1,3,"female",2,0,1,12.2875,"","S","Child",2,"Small Family","Medium"
0,3,"male",9,5,2,46.9,"","S","Child",8,"Large Family","High"
0,2,"male",28,0,0,0,"","S","Adult",1,"Solo","Low"
0,3,"male",50,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,3,"female",63,0,0,9.5875,"","S","Elderly",1,"Solo","Low"
1,1,"male",25,1,0,91.0792,"B49","C","Adult",2,"Small Family","High"
0,3,"female",28,3,1,25.4667,"","S","Adult",5,"Large Family","Medium"
1,1,"female",35,1,0,90,"C93","S","Adult",2,"Small Family","High"
0,1,"male",58,0,0,29.7,"B37","C","Adult",1,"Solo","Medium"
0,3,"male",30,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,3,"male",9,1,1,15.9,"","S","Child",3,"Small Family","Medium"
0,3,"male",28,1,0,19.9667,"","S","Adult",2,"Small Family","Medium"
0,3,"male",21,0,0,7.25,"","S","Adult",1,"Solo","Low"
0,1,"male",55,0,0,30.5,"C30","S","Adult",1,"Solo","High"
0,1,"male",71,0,0,49.5042,"","C","Elderly",1,"Solo","High"
0,3,"male",21,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,14.4583,"","C","Adult",1,"Solo","Medium"
1,1,"female",54,1,0,78.2667,"D20","C","Adult",2,"Small Family","High"
0,3,"male",28,0,0,15.1,"","S","Adult",1,"Solo","Medium"
0,1,"female",25,1,2,151.55,"C22 C26","S","Adult",4,"Small Family","High"
0,3,"male",24,0,0,7.7958,"","S","Adult",1,"Solo","Low"
0,3,"male",17,0,0,8.6625,"","S","Adult",1,"Solo","Low"
0,3,"female",21,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,3,"female",28,0,0,7.6292,"","Q","Adult",1,"Solo","Low"
0,3,"female",37,0,0,9.5875,"","S","Adult",1,"Solo","Low"
1,1,"female",16,0,0,86.5,"B79","S","Adult",1,"Solo","High"
0,1,"male",18,1,0,108.9,"C65","C","Adult",2,"Small Family","High"
1,2,"female",33,0,2,26,"","S","Adult",3,"Small Family","Medium"
1,1,"male",28,0,0,26.55,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,22.525,"","S","Adult",1,"Solo","Medium"
1,3,"male",26,0,0,56.4958,"","S","Adult",1,"Solo","High"
1,3,"male",29,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,3,"male",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,1,"male",36,0,0,26.2875,"E25","S","Adult",1,"Solo","Medium"
1,1,"female",54,1,0,59.4,"","C","Adult",2,"Small Family","High"
0,3,"male",24,0,0,7.4958,"","S","Adult",1,"Solo","Low"
0,1,"male",47,0,0,34.0208,"D46","S","Adult",1,"Solo","High"
1,2,"female",34,0,0,10.5,"F33","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,24.15,"","Q","Adult",1,"Solo","Medium"
1,2,"female",36,1,0,26,"","S","Adult",2,"Small Family","Medium"
0,3,"male",32,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,1,"female",30,0,0,93.5,"B73","S","Adult",1,"Solo","High"
0,3,"male",22,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.225,"","C","Adult",1,"Solo","Low"
1,1,"female",44,0,1,57.9792,"B18","C","Adult",2,"Small Family","High"
0,3,"male",28,0,0,7.2292,"","C","Adult",1,"Solo","Low"
0,3,"male",40.5,0,0,7.75,"","Q","Adult",1,"Solo","Low"
1,2,"female",50,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,1,"male",28,0,0,221.7792,"C95","S","Adult",1,"Solo","High"
0,3,"male",39,0,0,7.925,"","S","Adult",1,"Solo","Low"
0,2,"male",23,2,1,11.5,"","S","Adult",4,"Small Family","Medium"
1,2,"female",2,1,1,26,"","S","Child",3,"Small Family","Medium"
0,3,"male",28,0,0,7.2292,"","C","Adult",1,"Solo","Low"
0,3,"male",17,1,1,7.2292,"","C","Adult",3,"Small Family","Low"
1,3,"female",28,0,2,22.3583,"","C","Adult",3,"Small Family","Medium"
0,3,"female",30,0,0,8.6625,"","S","Adult",1,"Solo","Low"
1,2,"female",7,0,2,26.25,"","S","Child",3,"Small Family","Medium"
0,1,"male",45,0,0,26.55,"B38","S","Adult",1,"Solo","Medium"
1,1,"female",30,0,0,106.425,"","C","Adult",1,"Solo","High"
0,3,"male",28,0,0,14.5,"","S","Adult",1,"Solo","Medium"
1,1,"female",22,0,2,49.5,"B39","C","Adult",3,"Small Family","High"
1,1,"female",36,0,2,71,"B22","S","Adult",3,"Small Family","High"
0,3,"female",9,4,2,31.275,"","S","Child",7,"Large Family","High"
0,3,"female",11,4,2,31.275,"","S","Child",7,"Large Family","High"
1,2,"male",32,1,0,26,"","S","Adult",2,"Small Family","Medium"
0,1,"male",50,1,0,106.425,"C86","C","Adult",2,"Small Family","High"
0,1,"male",64,0,0,26,"","S","Elderly",1,"Solo","Medium"
1,2,"female",19,1,0,26,"","S","Adult",2,"Small Family","Medium"
1,2,"male",28,0,0,13.8625,"","C","Adult",1,"Solo","Medium"
0,3,"male",33,1,1,20.525,"","S","Adult",3,"Small Family","Medium"
1,2,"male",8,1,1,36.75,"","S","Child",3,"Small Family","High"
1,1,"male",17,0,2,110.8833,"C70","C","Adult",3,"Small Family","High"
0,2,"male",27,0,0,26,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,7.8292,"","Q","Adult",1,"Solo","Low"
1,3,"male",22,0,0,7.225,"","C","Adult",1,"Solo","Low"
1,3,"female",22,0,0,7.775,"","S","Adult",1,"Solo","Low"
0,1,"male",62,0,0,26.55,"","S","Elderly",1,"Solo","Medium"
1,1,"female",48,1,0,39.6,"A16","C","Adult",2,"Small Family","High"
0,1,"male",28,0,0,227.525,"","C","Adult",1,"Solo","High"
1,1,"female",39,1,1,79.65,"E67","S","Adult",3,"Small Family","High"
1,3,"female",36,1,0,17.4,"","S","Adult",2,"Small Family","Medium"
0,3,"male",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,3,"male",40,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,2,"male",28,0,0,13.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"female",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",24,2,0,24.15,"","S","Adult",3,"Small Family","Medium"
0,3,"male",19,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"female",29,0,4,21.075,"","S","Adult",5,"Large Family","Medium"
0,3,"male",28,0,0,7.2292,"","C","Adult",1,"Solo","Low"
1,3,"male",32,0,0,7.8542,"","S","Adult",1,"Solo","Low"
1,2,"male",62,0,0,10.5,"","S","Elderly",1,"Solo","Medium"
1,1,"female",53,2,0,51.4792,"C101","S","Adult",3,"Small Family","High"
1,1,"male",36,0,0,26.3875,"E25","S","Adult",1,"Solo","Medium"
1,3,"female",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,3,"male",16,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",19,0,0,14.5,"","S","Adult",1,"Solo","Medium"
1,2,"female",34,0,0,13,"","S","Adult",1,"Solo","Medium"
1,1,"female",39,1,0,55.9,"E44","S","Adult",2,"Small Family","High"
0,3,"female",28,1,0,14.4583,"","C","Adult",2,"Small Family","Medium"
1,3,"male",32,0,0,7.925,"","S","Adult",1,"Solo","Low"
1,2,"female",25,1,1,30,"","S","Adult",3,"Small Family","High"
1,1,"female",39,1,1,110.8833,"C68","C","Adult",3,"Small Family","High"
0,2,"male",54,0,0,26,"","S","Adult",1,"Solo","Medium"
0,1,"male",36,0,0,40.125,"A10","C","Adult",1,"Solo","High"
0,3,"male",28,0,0,8.7125,"","C","Adult",1,"Solo","Low"
1,1,"female",18,0,2,79.65,"E68","S","Adult",3,"Small Family","High"
0,2,"male",47,0,0,15,"","S","Adult",1,"Solo","Medium"
1,1,"male",60,1,1,79.2,"B41","C","Elderly",3,"Small Family","High"
0,3,"male",22,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",35,0,0,7.125,"","S","Adult",1,"Solo","Low"
1,1,"female",52,1,0,78.2667,"D20","C","Adult",2,"Small Family","High"
0,3,"male",47,0,0,7.25,"","S","Adult",1,"Solo","Low"
0,3,"female",28,0,2,7.75,"","Q","Adult",3,"Small Family","Low"
0,2,"male",37,1,0,26,"","S","Adult",2,"Small Family","Medium"
0,3,"male",36,1,1,24.15,"","S","Adult",3,"Small Family","Medium"
1,2,"female",28,0,0,33,"","S","Adult",1,"Solo","High"
0,3,"male",49,0,0,0,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.225,"","C","Adult",1,"Solo","Low"
1,1,"male",49,1,0,56.9292,"A20","C","Adult",2,"Small Family","High"
1,2,"female",24,2,1,27,"","S","Adult",4,"Small Family","Medium"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,1,"male",28,0,0,42.4,"","S","Adult",1,"Solo","High"
0,3,"male",44,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,1,"male",35,0,0,26.55,"","C","Adult",1,"Solo","Medium"
0,3,"male",36,1,0,15.55,"","S","Adult",2,"Small Family","Medium"
0,3,"male",30,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,1,"male",27,0,0,30.5,"","S","Adult",1,"Solo","High"
1,2,"female",22,1,2,41.5792,"","C","Adult",4,"Small Family","High"
1,1,"female",40,0,0,153.4625,"C125","S","Adult",1,"Solo","High"
0,3,"female",39,1,5,31.275,"","S","Adult",7,"Large Family","High"
0,3,"male",28,0,0,7.05,"","S","Adult",1,"Solo","Low"
1,3,"female",28,1,0,15.5,"","Q","Adult",2,"Small Family","Medium"
0,3,"male",28,0,0,7.75,"","Q","Adult",1,"Solo","Low"
0,3,"male",35,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,2,"female",24,1,2,65,"","S","Adult",4,"Small Family","High"
0,3,"male",34,1,1,14.4,"","S","Adult",3,"Small Family","Medium"
0,3,"female",26,1,0,16.1,"","S","Adult",2,"Small Family","Medium"
1,2,"female",4,2,1,39,"F4","S","Child",4,"Small Family","High"
0,2,"male",26,0,0,10.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",27,1,0,14.4542,"","C","Adult",2,"Small Family","Medium"
1,1,"male",42,1,0,52.5542,"D19","S","Adult",2,"Small Family","High"
1,3,"male",20,1,1,15.7417,"","C","Adult",3,"Small Family","Medium"
0,3,"male",21,0,0,7.8542,"","S","Adult",1,"Solo","Low"
0,3,"male",21,0,0,16.1,"","S","Adult",1,"Solo","Medium"
0,1,"male",61,0,0,32.3208,"D50","S","Elderly",1,"Solo","High"
0,2,"male",57,0,0,12.35,"","Q","Adult",1,"Solo","Medium"
1,1,"female",21,0,0,77.9583,"D9","S","Adult",1,"Solo","High"
0,3,"male",26,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.7333,"","Q","Adult",1,"Solo","Low"
1,1,"male",80,0,0,30,"A23","S","Elderly",1,"Solo","High"
0,3,"male",51,0,0,7.0542,"","S","Adult",1,"Solo","Low"
1,1,"male",32,0,0,30.5,"B50","C","Adult",1,"Solo","High"
0,1,"male",28,0,0,0,"","S","Adult",1,"Solo","Low"
0,3,"female",9,3,2,27.9,"","S","Child",6,"Large Family","Medium"
1,2,"female",28,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",32,0,0,7.925,"","S","Adult",1,"Solo","Low"
0,2,"male",31,1,1,26.25,"","S","Adult",3,"Small Family","Medium"
0,3,"female",41,0,5,39.6875,"","S","Adult",6,"Large Family","High"
0,3,"male",28,1,0,16.1,"","S","Adult",2,"Small Family","Medium"
0,3,"male",20,0,0,7.8542,"","S","Adult",1,"Solo","Low"
1,1,"female",24,0,0,69.3,"B35","C","Adult",1,"Solo","High"
0,3,"female",2,3,2,27.9,"","S","Child",6,"Large Family","Medium"
1,3,"male",28,0,0,56.4958,"","S","Adult",1,"Solo","High"
1,3,"female",0.75,2,1,19.2583,"","C","Child",4,"Small Family","Medium"
1,1,"male",48,1,0,76.7292,"D33","C","Adult",2,"Small Family","High"
0,3,"male",19,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,1,"male",56,0,0,35.5,"A26","C","Adult",1,"Solo","High"
0,3,"male",28,0,0,7.55,"","S","Adult",1,"Solo","Low"
1,3,"female",23,0,0,7.55,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,2,"female",18,0,1,23,"","S","Adult",2,"Small Family","Medium"
0,3,"male",21,0,0,8.4333,"","S","Adult",1,"Solo","Low"
1,3,"female",28,0,0,7.8292,"","Q","Adult",1,"Solo","Low"
0,3,"female",18,0,0,6.75,"","Q","Adult",1,"Solo","Low"
0,2,"male",24,2,0,73.5,"","S","Adult",3,"Small Family","High"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"female",32,1,1,15.5,"","Q","Adult",3,"Small Family","Medium"
0,2,"male",23,0,0,13,"","S","Adult",1,"Solo","Medium"
0,1,"male",58,0,2,113.275,"D48","C","Adult",3,"Small Family","High"
1,1,"male",50,2,0,133.65,"","S","Adult",3,"Small Family","High"
0,3,"male",40,0,0,7.225,"","C","Adult",1,"Solo","Low"
0,1,"male",47,0,0,25.5875,"E58","S","Adult",1,"Solo","Medium"
0,3,"male",36,0,0,7.4958,"","S","Adult",1,"Solo","Low"
1,3,"male",20,1,0,7.925,"","S","Adult",2,"Small Family","Low"
0,2,"male",32,2,0,73.5,"","S","Adult",3,"Small Family","High"
0,2,"male",25,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,7.775,"","S","Adult",1,"Solo","Low"
0,3,"male",43,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,1,"female",28,1,0,52,"C126","S","Adult",2,"Small Family","High"
1,2,"female",40,1,1,39,"","S","Adult",3,"Small Family","High"
0,1,"male",31,1,0,52,"B71","S","Adult",2,"Small Family","High"
0,2,"male",70,0,0,10.5,"","S","Elderly",1,"Solo","Medium"
1,2,"male",31,0,0,13,"","S","Adult",1,"Solo","Medium"
0,2,"male",28,0,0,0,"","S","Adult",1,"Solo","Low"
0,3,"male",18,0,0,7.775,"","S","Adult",1,"Solo","Low"
0,3,"male",24.5,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,3,"female",18,0,0,9.8417,"","S","Adult",1,"Solo","Low"
0,3,"female",43,1,6,46.9,"","S","Adult",8,"Large Family","High"
1,1,"male",36,0,1,512.3292,"B51 B53 B55","C","Adult",2,"Small Family","High"
0,3,"female",28,0,0,8.1375,"","Q","Adult",1,"Solo","Low"
1,1,"male",27,0,0,76.7292,"D49","C","Adult",1,"Solo","High"
0,3,"male",20,0,0,9.225,"","S","Adult",1,"Solo","Low"
0,3,"male",14,5,2,46.9,"","S","Child",8,"Large Family","High"
0,2,"male",60,1,1,39,"","S","Elderly",3,"Small Family","High"
0,2,"male",25,1,2,41.5792,"","C","Adult",4,"Small Family","High"
0,3,"male",14,4,1,39.6875,"","S","Child",6,"Large Family","High"
0,3,"male",19,0,0,10.1708,"","S","Adult",1,"Solo","Medium"
0,3,"male",18,0,0,7.7958,"","S","Adult",1,"Solo","Low"
1,1,"female",15,0,1,211.3375,"B5","S","Child",2,"Small Family","High"
1,1,"male",31,1,0,57,"B20","S","Adult",2,"Small Family","High"
1,3,"female",4,0,1,13.4167,"","C","Child",2,"Small Family","Medium"
1,3,"male",28,0,0,56.4958,"","S","Adult",1,"Solo","High"
0,3,"male",25,0,0,7.225,"","C","Adult",1,"Solo","Low"
0,1,"male",60,0,0,26.55,"","S","Elderly",1,"Solo","Medium"
0,2,"male",52,0,0,13.5,"","S","Adult",1,"Solo","Medium"
0,3,"male",44,0,0,8.05,"","S","Adult",1,"Solo","Low"
1,3,"female",28,0,0,7.7333,"","Q","Adult",1,"Solo","Low"
0,1,"male",49,1,1,110.8833,"C68","C","Adult",3,"Small Family","High"
0,3,"male",42,0,0,7.65,"F G63","S","Adult",1,"Solo","Low"
1,1,"female",18,1,0,227.525,"C62 C64","C","Adult",2,"Small Family","High"
1,1,"male",35,0,0,26.2875,"E24","S","Adult",1,"Solo","Medium"
0,3,"female",18,0,1,14.4542,"","C","Adult",2,"Small Family","Medium"
0,3,"male",25,0,0,7.7417,"","Q","Adult",1,"Solo","Low"
0,3,"male",26,1,0,7.8542,"","S","Adult",2,"Small Family","Low"
0,2,"male",39,0,0,26,"","S","Adult",1,"Solo","Medium"
1,2,"female",45,0,0,13.5,"","S","Adult",1,"Solo","Medium"
1,1,"male",42,0,0,26.2875,"E24","S","Adult",1,"Solo","Medium"
1,1,"female",22,0,0,151.55,"","S","Adult",1,"Solo","High"
1,3,"male",28,1,1,15.2458,"","C","Adult",3,"Small Family","Medium"
1,1,"female",24,0,0,49.5042,"C90","C","Adult",1,"Solo","High"
0,1,"male",28,0,0,26.55,"C124","S","Adult",1,"Solo","Medium"
1,1,"male",48,1,0,52,"C126","S","Adult",2,"Small Family","High"
0,3,"male",29,0,0,9.4833,"","S","Adult",1,"Solo","Low"
0,2,"male",52,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",19,0,0,7.65,"F G73","S","Adult",1,"Solo","Low"
1,1,"female",38,0,0,227.525,"C45","C","Adult",1,"Solo","High"
1,2,"female",27,0,0,10.5,"E101","S","Adult",1,"Solo","Medium"
0,3,"male",28,0,0,15.5,"","Q","Adult",1,"Solo","Medium"
0,3,"male",33,0,0,7.775,"","S","Adult",1,"Solo","Low"
1,2,"female",6,0,1,33,"","S","Child",2,"Small Family","High"
0,3,"male",17,1,0,7.0542,"","S","Adult",2,"Small Family","Low"
0,2,"male",34,0,0,13,"","S","Adult",1,"Solo","Medium"
0,2,"male",50,0,0,13,"","S","Adult",1,"Solo","Medium"
1,1,"male",27,1,0,53.1,"E8","S","Adult",2,"Small Family","High"
0,3,"male",20,0,0,8.6625,"","S","Adult",1,"Solo","Low"
1,2,"female",30,3,0,21,"","S","Adult",4,"Small Family","Medium"
1,3,"female",28,0,0,7.7375,"","Q","Adult",1,"Solo","Low"
0,2,"male",25,1,0,26,"","S","Adult",2,"Small Family","Medium"
0,3,"female",25,1,0,7.925,"","S","Adult",2,"Small Family","Low"
1,1,"female",29,0,0,211.3375,"B5","S","Adult",1,"Solo","High"
0,3,"male",11,0,0,18.7875,"","C","Child",1,"Solo","Medium"
0,2,"male",28,0,0,0,"","S","Adult",1,"Solo","Low"
0,2,"male",23,0,0,13,"","S","Adult",1,"Solo","Medium"
0,2,"male",23,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"male",28.5,0,0,16.1,"","S","Adult",1,"Solo","Medium"
0,3,"female",48,1,3,34.375,"","S","Adult",5,"Large Family","High"
1,1,"male",35,0,0,512.3292,"B101","C","Adult",1,"Solo","High"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,7.8958,"","S","Adult",1,"Solo","Low"
1,1,"male",28,0,0,30,"D45","S","Adult",1,"Solo","High"
0,1,"male",36,1,0,78.85,"C46","S","Adult",2,"Small Family","High"
1,1,"female",21,2,2,262.375,"B57 B59 B63 B66","C","Adult",5,"Large Family","High"
0,3,"male",24,1,0,16.1,"","S","Adult",2,"Small Family","Medium"
1,3,"male",31,0,0,7.925,"","S","Adult",1,"Solo","Low"
0,1,"male",70,1,1,71,"B22","S","Elderly",3,"Small Family","High"
0,3,"male",16,1,1,20.25,"","S","Adult",3,"Small Family","Medium"
1,2,"female",30,0,0,13,"","S","Adult",1,"Solo","Medium"
